tahun,kode_prov,nama_prov,kabkota_4digit,kode_kab_2digit,nama_kab,kelas_kode,kelas,n_individu_tertimbang,n_individu_sample,pop_kab_total,pct_kelas_dalam_kab
2019,12,Sumatera Utara,1213,13,Langkat,7,Upper MC,1033.4488,3,1040184.9790,0.0994
2019,12,Sumatera Utara,1214,14,Nias Selatan,1,Poor,95263.5316,769,319228.0000,29.8418
2019,12,Sumatera Utara,1214,14,Nias Selatan,2,Vulnerable,92534.0499,792,319228.0000,28.9868
2019,12,Sumatera Utara,1214,14,Nias Selatan,3,Lower AMC,93345.8651,680,319228.0000,29.2411
2019,12,Sumatera Utara,1214,14,Nias Selatan,4,Upper AMC,26162.4962,159,319228.0000,8.1956
2019,12,Sumatera Utara,1214,14,Nias Selatan,5,Lower MC,10803.3186,65,319228.0000,3.3842
2019,12,Sumatera Utara,1214,14,Nias Selatan,6,Middle MC,828.3342,4,319228.0000,0.2595
2019,12,Sumatera Utara,1214,14,Nias Selatan,8,Upper Class,290.4044,2,319228.0000,0.0910
2019,12,Sumatera Utara,1215,15,Humbang Hasundutan,1,Poor,27768.5135,246,189759.0008,14.6336
2019,12,Sumatera Utara,1215,15,Humbang Hasundutan,2,Vulnerable,74509.8639,762,189759.0008,39.2655
2019,12,Sumatera Utara,1215,15,Humbang Hasundutan,3,Lower AMC,60415.2478,713,189759.0008,31.8379
2019,12,Sumatera Utara,1215,15,Humbang Hasundutan,4,Upper AMC,16576.4134,148,189759.0008,8.7355
2019,12,Sumatera Utara,1215,15,Humbang Hasundutan,5,Lower MC,8996.6241,107,189759.0008,4.7411
2019,12,Sumatera Utara,1215,15,Humbang Hasundutan,6,Middle MC,1214.1180,9,189759.0008,0.6398
2019,12,Sumatera Utara,1215,15,Humbang Hasundutan,8,Upper Class,278.2202,4,189759.0008,0.1466
2019,12,Sumatera Utara,1216,16,Pakpak Bharat,1,Poor,3518.9715,118,48729.9980,7.2214
2019,12,Sumatera Utara,1216,16,Pakpak Bharat,2,Vulnerable,15065.3102,587,48729.9980,30.9159
2019,12,Sumatera Utara,1216,16,Pakpak Bharat,3,Lower AMC,19746.7454,845,48729.9980,40.5228
2019,12,Sumatera Utara,1216,16,Pakpak Bharat,4,Upper AMC,5515.7931,255,48729.9980,11.3191
2019,12,Sumatera Utara,1216,16,Pakpak Bharat,5,Lower MC,4639.2557,166,48729.9980,9.5203
2019,12,Sumatera Utara,1216,16,Pakpak Bharat,6,Middle MC,232.7579,10,48729.9980,0.4776
2019,12,Sumatera Utara,1216,16,Pakpak Bharat,8,Upper Class,11.1641,2,48729.9980,0.0229
2019,12,Sumatera Utara,1217,17,Samosir,1,Poor,9732.2458,109,126095.9998,7.7181
2019,12,Sumatera Utara,1217,17,Samosir,2,Vulnerable,40294.2574,632,126095.9998,31.9552
2019,12,Sumatera Utara,1217,17,Samosir,3,Lower AMC,45356.4685,731,126095.9998,35.9698
2019,12,Sumatera Utara,1217,17,Samosir,4,Upper AMC,17953.5088,296,126095.9998,14.2380
2019,12,Sumatera Utara,1217,17,Samosir,5,Lower MC,11565.8206,167,126095.9998,9.1722
