year,provinsi_id,kabkota_id,nama_kabkota,kbli2,kbli_label,avg_pendapatan_bulanan,n_responden,weight_sum,low_reliability_flag
2025,31,1,Kepulauan Seribu,7,Perdagangan Besar/Eceran (KBLI G),6105765.921356978,46,1297.0,0
2025,31,1,Kepulauan Seribu,9,Akomodasi & Makan Minum (KBLI I),5845411.103302881,54,1423.0,0
2025,31,71,Jakarta Selatan,7,Perdagangan Besar/Eceran (KBLI G),6924179.45836472,77,80977.0,0
2025,31,71,Jakarta Selatan,9,Akomodasi & Makan Minum (KBLI I),8023126.609926941,60,66385.0,0
2025,31,72,Jakarta Timur,7,Perdagangan Besar/Eceran (KBLI G),6709397.518586228,81,123075.0,0
2025,31,72,Jakarta Timur,9,Akomodasi & Makan Minum (KBLI I),7691184.816990511,47,66390.0,0
2025,31,73,Jakarta Pusat,7,Perdagangan Besar/Eceran (KBLI G),9556468.686868686,86,49500.0,0
2025,31,73,Jakarta Pusat,9,Akomodasi & Makan Minum (KBLI I),8475650.74801204,85,44518.0,0
2025,31,74,Jakarta Barat,7,Perdagangan Besar/Eceran (KBLI G),10788247.756754361,88,101527.0,0
2025,31,74,Jakarta Barat,9,Akomodasi & Makan Minum (KBLI I),4380188.962824037,69,77846.0,0
2025,31,75,Jakarta Utara,7,Perdagangan Besar/Eceran (KBLI G),7216243.610513673,80,71602.0,0
2025,31,75,Jakarta Utara,9,Akomodasi & Makan Minum (KBLI I),5015929.907413161,73,64372.0,0
