provinsi_id,kabkota_id,kec_id,desa_id,vintage_year,kategori,count,kabkota_id_full,nama_kabkota,nama_desa,kbli2,sak_year,avg_pendapatan_kabkota_kbli,potensi_total
31,71,70,3,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Tegal Parang,7,2021,3053401.765908399,3053401.765908399
31,71,70,4,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Mampang Prapatan,7,2021,3053401.765908399,0.0
31,71,70,5,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Kuningan Barat,7,2021,3053401.765908399,0.0
31,71,80,1,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Kalibata,7,2021,3053401.765908399,3053401.765908399
31,71,80,2,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Rawajati,7,2021,3053401.765908399,3053401.765908399
31,71,80,3,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Duren Tiga,7,2021,3053401.765908399,3053401.765908399
31,71,80,4,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Pancoran,7,2021,3053401.765908399,3053401.765908399
31,71,80,5,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Pengadegan,7,2021,3053401.765908399,3053401.765908399
31,71,80,6,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Cikoko,7,2021,3053401.765908399,0.0
31,71,90,1,2018,kelompok_pertokoan,2,3171,Jakarta Selatan,Menteng Dalam,7,2021,3053401.765908399,6106803.531816798
31,71,90,2,2018,kelompok_pertokoan,5,3171,Jakarta Selatan,Tebet Barat,7,2021,3053401.765908399,15267008.829541996
31,71,90,3,2018,kelompok_pertokoan,7,3171,Jakarta Selatan,Tebet Timur,7,2021,3053401.765908399,21373812.361358795
31,71,90,4,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Kebon Baru,7,2021,3053401.765908399,3053401.765908399
31,71,90,5,2018,kelompok_pertokoan,1,3171,Jakarta Selatan,Bukit Duri,7,2021,3053401.765908399,3053401.765908399
31,71,90,6,2018,kelompok_pertokoan,2,3171,Jakarta Selatan,Manggarai Selatan,7,2021,3053401.765908399,6106803.531816798
31,71,90,7,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Manggarai,7,2021,3053401.765908399,0.0
31,71,100,1,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Karet Semanggi,7,2021,3053401.765908399,0.0
31,71,100,2,2018,kelompok_pertokoan,12,3171,Jakarta Selatan,Kuningan Timur,7,2021,3053401.765908399,36640821.19090079
31,71,100,3,2018,kelompok_pertokoan,58,3171,Jakarta Selatan,Karet Kuningan,7,2021,3053401.765908399,177097302.42268714
31,71,100,4,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Karet,7,2021,3053401.765908399,0.0
31,71,100,5,2018,kelompok_pertokoan,90,3171,Jakarta Selatan,Menteng Atas,7,2021,3053401.765908399,274806158.9317559
31,71,100,6,2018,kelompok_pertokoan,20,3171,Jakarta Selatan,Pasar Manggis,7,2021,3053401.765908399,61068035.318167984
31,71,100,7,2018,kelompok_pertokoan,13,3171,Jakarta Selatan,Guntur,7,2021,3053401.765908399,39694222.95680919
31,71,100,8,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Setia Budi,7,2021,3053401.765908399,0.0
31,72,10,1,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Pekayon,7,2021,3322717.210475475,9968151.631426426
31,72,10,2,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Kalisari,7,2021,3322717.210475475,16613586.052377377
31,72,10,3,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Baru,7,2021,3322717.210475475,3322717.210475475
31,72,10,4,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cijantung,7,2021,3322717.210475475,3322717.210475475
31,72,10,5,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Gedong,7,2021,3322717.210475475,6645434.42095095
31,72,20,1,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Cibubur,7,2021,3322717.210475475,9968151.631426426
31,72,20,2,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Kelapa Dua Wetan,7,2021,3322717.210475475,6645434.42095095
31,72,20,3,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Ciracas,7,2021,3322717.210475475,16613586.052377377
31,72,20,4,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Susukan,7,2021,3322717.210475475,9968151.631426426
31,72,20,5,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Rambutan,7,2021,3322717.210475475,9968151.631426426
31,72,30,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Pondok Ranggon,7,2021,3322717.210475475,3322717.210475475
31,72,30,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cilangkap,7,2021,3322717.210475475,0.0
31,72,30,3,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Munjul,7,2021,3322717.210475475,3322717.210475475
31,72,30,4,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cipayung,7,2021,3322717.210475475,3322717.210475475
31,72,30,5,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Setu,7,2021,3322717.210475475,0.0
31,72,30,6,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Bambu Apus,7,2021,3322717.210475475,3322717.210475475
31,72,30,7,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Ceger,7,2021,3322717.210475475,6645434.42095095
31,72,30,8,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Lubang Buaya,7,2021,3322717.210475475,9968151.631426426
31,72,40,1,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Pinang Ranti,7,2021,3322717.210475475,0.0
31,72,40,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Makasar,7,2021,3322717.210475475,0.0
31,72,40,3,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Kebon Pala,7,2021,3322717.210475475,0.0
31,72,40,4,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Halim Perdana Kusumah,7,2021,3322717.210475475,0.0
31,72,40,5,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cipinang Melayu,7,2021,3322717.210475475,3322717.210475475
31,72,50,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Bale Kambang,7,2021,3322717.210475475,3322717.210475475
31,72,50,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Batu Ampar,7,2021,3322717.210475475,0.0
31,72,50,3,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Tengah,7,2021,3322717.210475475,3322717.210475475
31,72,50,4,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Dukuh,7,2021,3322717.210475475,0.0
31,72,50,5,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Kramat Jati,7,2021,3322717.210475475,6645434.42095095
31,72,50,6,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cililitan,7,2021,3322717.210475475,3322717.210475475
31,72,50,7,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cawang,7,2021,3322717.210475475,0.0
31,72,60,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Bidara Cina,7,2021,3322717.210475475,3322717.210475475
31,72,60,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cipinang Cempedak,7,2021,3322717.210475475,0.0
31,72,60,3,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Cipinang Besar Selatan,7,2021,3322717.210475475,6645434.42095095
31,72,60,4,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cipinang Muara,7,2021,3322717.210475475,3322717.210475475
31,72,60,5,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cipinang Besar Utara,7,2021,3322717.210475475,0.0
31,72,60,6,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Rawa Bunga,7,2021,3322717.210475475,6645434.42095095
31,72,60,7,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Bali Mester,7,2021,3322717.210475475,13290868.8419019
31,72,60,8,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Kampung Melayu,7,2021,3322717.210475475,3322717.210475475
31,72,70,1,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Pondok Bambu,7,2021,3322717.210475475,16613586.052377377
31,72,70,2,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Duren Sawit,7,2021,3322717.210475475,16613586.052377377
31,72,70,3,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Pondok Kelapa,7,2021,3322717.210475475,13290868.8419019
31,72,70,4,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Pondok Kopi,7,2021,3322717.210475475,6645434.42095095
31,72,70,5,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Malaka Jaya,7,2021,3322717.210475475,9968151.631426426
31,72,70,6,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Malaka Sari,7,2021,3322717.210475475,16613586.052377377
31,72,70,7,2018,kelompok_pertokoan,12,3172,Jakarta Timur,Klender,7,2021,3322717.210475475,39872606.5257057
31,72,80,1,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Jatinegara,7,2021,3322717.210475475,13290868.8419019
31,72,80,2,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Penggilingan,7,2021,3322717.210475475,6645434.42095095
31,72,80,3,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Pulo Gebang,7,2021,3322717.210475475,13290868.8419019
31,72,80,4,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Ujung Menteng,7,2021,3322717.210475475,16613586.052377377
31,72,80,5,2018,kelompok_pertokoan,6,3172,Jakarta Timur,Cakung Timur,7,2021,3322717.210475475,19936303.26285285
31,72,80,6,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Cakung Barat,7,2021,3322717.210475475,13290868.8419019
31,72,80,7,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Rawa Terate,7,2021,3322717.210475475,6645434.42095095
31,72,90,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Pisangan Timur,7,2021,3322717.210475475,3322717.210475475
31,72,90,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cipinang,7,2021,3322717.210475475,0.0
31,72,90,3,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Jatinegara Kaum,7,2021,3322717.210475475,9968151.631426426
31,72,90,4,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Jati,7,2021,3322717.210475475,6645434.42095095
