provinsi_id,kabkota_id,kec_id,desa_id,vintage_year,kategori,count,kabkota_id_full,nama_kabkota,nama_desa
31,71,100,7,2018,kelompok_pertokoan,13,3171,Jakarta Selatan,Guntur
31,71,100,8,2018,kelompok_pertokoan,0,3171,Jakarta Selatan,Setia Budi
31,72,10,1,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Pekayon
31,72,10,2,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Kalisari
31,72,10,3,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Baru
31,72,10,4,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cijantung
31,72,10,5,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Gedong
31,72,20,1,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Cibubur
31,72,20,2,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Kelapa Dua Wetan
31,72,20,3,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Ciracas
31,72,20,4,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Susukan
31,72,20,5,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Rambutan
31,72,30,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Pondok Ranggon
31,72,30,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cilangkap
31,72,30,3,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Munjul
31,72,30,4,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cipayung
31,72,30,5,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Setu
31,72,30,6,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Bambu Apus
31,72,30,7,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Ceger
31,72,30,8,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Lubang Buaya
31,72,40,1,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Pinang Ranti
31,72,40,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Makasar
31,72,40,3,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Kebon Pala
31,72,40,4,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Halim Perdana Kusumah
31,72,40,5,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cipinang Melayu
31,72,50,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Bale Kambang
31,72,50,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Batu Ampar
31,72,50,3,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Tengah
31,72,50,4,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Dukuh
31,72,50,5,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Kramat Jati
31,72,50,6,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cililitan
31,72,50,7,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cawang
31,72,60,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Bidara Cina
31,72,60,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cipinang Cempedak
31,72,60,3,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Cipinang Besar Selatan
31,72,60,4,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Cipinang Muara
31,72,60,5,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cipinang Besar Utara
31,72,60,6,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Rawa Bunga
31,72,60,7,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Bali Mester
31,72,60,8,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Kampung Melayu
31,72,70,1,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Pondok Bambu
31,72,70,2,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Duren Sawit
31,72,70,3,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Pondok Kelapa
31,72,70,4,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Pondok Kopi
31,72,70,5,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Malaka Jaya
31,72,70,6,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Malaka Sari
31,72,70,7,2018,kelompok_pertokoan,12,3172,Jakarta Timur,Klender
31,72,80,1,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Jatinegara
31,72,80,2,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Penggilingan
31,72,80,3,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Pulo Gebang
31,72,80,4,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Ujung Menteng
31,72,80,5,2018,kelompok_pertokoan,6,3172,Jakarta Timur,Cakung Timur
31,72,80,6,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Cakung Barat
31,72,80,7,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Rawa Terate
31,72,90,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Pisangan Timur
31,72,90,2,2018,kelompok_pertokoan,0,3172,Jakarta Timur,Cipinang
31,72,90,3,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Jatinegara Kaum
31,72,90,4,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Jati
31,72,90,5,2018,kelompok_pertokoan,5,3172,Jakarta Timur,Rawamangun
31,72,90,6,2018,kelompok_pertokoan,6,3172,Jakarta Timur,Kayu Putih
31,72,90,7,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Pulo Gadung
31,72,100,1,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Kebon Manggis
31,72,100,2,2018,kelompok_pertokoan,3,3172,Jakarta Timur,Pal Meriem
31,72,100,3,2018,kelompok_pertokoan,4,3172,Jakarta Timur,Pisangan Baru
31,72,100,4,2018,kelompok_pertokoan,1,3172,Jakarta Timur,Kayu Manis
31,72,100,5,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Utan Kayu Selatan
31,72,100,6,2018,kelompok_pertokoan,2,3172,Jakarta Timur,Utan Kayu Utara
31,73,10,1,2018,kelompok_pertokoan,5,3173,Jakarta Pusat,Gelora
31,73,10,2,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Bendungan Hilir
31,73,10,3,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Karet Tengsin
