desa_id,kabkota_id_full,nama_desa,nama_kabkota,vintage_year,sektor,count_total,potensi_weighted
2,3174,Sukabumi Utara,Jakarta Barat,2025,9,48,210335327.12834486
3,3172,Cipinang Besar Selatan,Jakarta Timur,2021,7,20,209331184.25995493
5,3174,Krendang,Jakarta Barat,2025,9,48,207672854.63304937
4,3173,Galur,Jakarta Pusat,2021,9,18,207478375.22534123
3,3175,Papango,Jakarta Utara,2018,9,30,205941828.8137583
5,3171,Kuningan Barat,Jakarta Selatan,2021,7,24,204577918.31586275
6,3171,Pasar Manggis,Jakarta Selatan,2021,7,15,204577918.31586275
1,3101,Pulau Panggang,Kepulauan Seribu,2018,7,80,204453348.59759587
4,3171,Karet,Jakarta Selatan,2025,7,15,204275563.2100156
3,3172,Kebon Pala,Jakarta Timur,2020,9,12,204149612.24489796
3,3173,Karet Tengsin,Jakarta Pusat,2018,7,34,202880666.48946774
10,3171,Senayan,Jakarta Selatan,2018,7,18,201524516.54995435
5,3172,Rambutan,Jakarta Timur,2021,9,56,201008848.97959185
4,3172,Susukan,Jakarta Timur,2025,9,23,200263677.39865226
1,3172,Kebon Manggis,Jakarta Timur,2020,7,22,199363032.6285285
1,3171,Cilandak Timur,Jakarta Selatan,2018,9,18,198591388.85151047
3,3171,Kebagusan,Jakarta Selatan,2020,9,18,198591388.85151047
3,3171,Kebagusan,Jakarta Selatan,2018,9,18,198591388.85151047
4,3172,Halim Perdana Kusumah,Jakarta Timur,2020,9,23,197868085.7142857
6,3171,Manggarai Selatan,Jakarta Selatan,2025,9,12,197470820.85593525
5,3172,Setu,Jakarta Timur,2025,9,42,196622519.62776765
5,3172,Cipinang Besar Utara,Jakarta Timur,2021,7,53,196040315.41805303
4,3172,Cipayung,Jakarta Timur,2024,9,20,194856913.3173317
3,3101,Pulau Harapan,Kepulauan Seribu,2020,7,76,194230681.1677161
1,3172,Kebon Manggis,Jakarta Timur,2025,7,35,194039741.7952119
8,3171,Setia Budi,Jakarta Selatan,2020,9,16,193295618.48213685
4,3175,Cilincing,Jakarta Utara,2025,7,28,192603221.07711372
6,3171,Cikoko,Jakarta Selatan,2024,9,18,192454207.9225069
2,3174,Sukabumi Utara,Jakarta Barat,2021,9,43,192442595.2322838
6,3171,Cikoko,Jakarta Selatan,2018,7,57,192364311.25222912
8,3174,Jembatan Lima,Jakarta Barat,2025,9,48,191698019.66127634
6,3172,Utan Kayu Utara,Jakarta Timur,2025,7,45,191486587.29790652
6,3173,Duri Pulo,Jakarta Pusat,2018,9,31,190784712.8508885
1,3174,Sukabumi Selatan,Jakarta Barat,2020,9,39,189526798.33482495
1,3174,Sukabumi Selatan,Jakarta Barat,2021,9,39,189526798.33482495
8,3174,Jembatan Lima,Jakarta Barat,2021,9,45,189526798.33482495
8,3174,Jembatan Lima,Jakarta Barat,2020,9,45,189526798.33482495
6,3171,Cikoko,Jakarta Selatan,2021,7,53,189310909.48632073
4,3172,Kayu Manis,Jakarta Timur,2025,7,41,188933432.8006011
3,3173,Sumur Batu,Jakarta Pusat,2021,9,33,188399903.9402524
9,3171,Rawa Barat,Jakarta Selatan,2025,7,56,188357986.85598838
5,3171,Melawai,Jakarta Selatan,2024,7,12,187629507.09974533
4,3171,Petogogan,Jakarta Selatan,2021,7,25,186257507.72041234
4,3172,Cijantung,Jakarta Timur,2025,9,35,185699046.3151139
5,3171,Menteng Atas,Jakarta Selatan,2020,9,17,185351962.92807645
6,3173,Bungur,Jakarta Pusat,2021,7,18,184846829.46818173
1,3174,Kalianyar,Jakarta Barat,2025,9,34,183710602.17538983
3,3174,Kedaung Kali Angke,Jakarta Barat,2020,9,63,183695204.53990725
3,3174,Kedaung Kali Angke,Jakarta Barat,2021,9,63,183695204.53990725
6,3171,Cikoko,Jakarta Selatan,2018,9,26,182704077.7433896
2,3173,Gunung Sahari Utara,Jakarta Pusat,2025,7,6,181638609.27776048
2,3174,Sukabumi Utara,Jakarta Barat,2020,9,42,180779407.64244843
5,3174,Kota Bambu Selatan,Jakarta Barat,2018,9,33,180779407.64244843
7,3171,Manggarai,Jakarta Selatan,2025,7,33,180399198.6789748
2,3171,Kuningan Timur,Jakarta Selatan,2021,7,12,180150704.18859553
10,3171,Senayan,Jakarta Selatan,2020,7,12,180150704.18859553
5,3173,Utan Panjang,Jakarta Pusat,2025,9,28,178948132.50155047
3,3174,Kelapa Dua,Jakarta Barat,2018,9,38,177863610.74498957
5,3171,Cipete Selatan,Jakarta Selatan,2020,7,22,177097302.42268714
2,3173,Cempaka Baru,Jakarta Pusat,2020,9,71,176475859.38707185
3,3101,Pulau Harapan,Kepulauan Seribu,2024,7,52,175963519.36758894
1,3172,Cibubur,Jakarta Timur,2020,9,21,175882742.85714287
1,3172,Cibubur,Jakarta Timur,2021,9,21,175882742.85714287
7,3173,Kemayoran,Jakarta Pusat,2021,7,39,175829910.95753872
1,3173,Rawa Sari,Jakarta Pusat,2018,7,13,175829910.9575387
1,3174,Semanan,Jakarta Barat,2021,9,48,174947813.84753072
1,3174,Semanan,Jakarta Barat,2020,9,48,174947813.84753072
1,3174,Semanan,Jakarta Barat,2018,9,48,174947813.84753072
1,3172,Pisangan Timur,Jakarta Timur,2025,9,26,174775573.00246018
5,3171,Kuningan Barat,Jakarta Selatan,2020,7,52,174043900.65677875
7,3174,Angke,Jakarta Barat,2025,9,61,173060712.19420782
2,3173,Kampung Rawa,Jakarta Pusat,2018,7,23,171321451.70221722
7,3172,Pulo Gadung,Jakarta Timur,2024,9,22,170499799.15266523
8,3172,Kampung Melayu,Jakarta Timur,2024,9,17,170499799.15266523
1,3174,Krukut,Jakarta Barat,2025,9,15,170398239.6989123
6,3174,Cengkareng Barat,Jakarta Barat,2025,9,5,170398239.6989123
3,3173,Sumur Batu,Jakarta Pusat,2020,9,31,169321432.65516353
2,3101,Pulau Pari,Kepulauan Seribu,2025,7,39,168217841.83006534
5,3171,Bukit Duri,Jakarta Selatan,2024,9,13,165908799.9331956
6,3171,Cikoko,Jakarta Selatan,2025,7,53,164481622.3249476
2,3171,Cipete Utara,Jakarta Selatan,2018,9,22,164168881.45058197
5,3172,Rambutan,Jakarta Timur,2025,7,46,163401887.8275469
1,3172,Pekayon,Jakarta Timur,2018,9,20,163319689.79591838
2,3101,Pulau Kelapa,Kepulauan Seribu,2025,9,14,162446906.34709278
3,3175,Marunda,Jakarta Utara,2025,9,60,162183357.33181524
4,3171,Petogogan,Jakarta Selatan,2025,7,25,161828692.93260974
3,3101,Pulau Untung Jawa,Kepulauan Seribu,2021,9,55,160445584.5629966
3,3101,Pulau Untung Jawa,Kepulauan Seribu,2020,9,55,160445584.5629966
5,3172,Cipinang Besar Utara,Jakarta Timur,2025,9,17,160210941.9189218
1,3174,Semanan,Jakarta Barat,2025,9,48,159748349.71773028
4,3171,Petogogan,Jakarta Selatan,2020,9,20,158873111.08120838
4,3171,Mampang Prapatan,Jakarta Selatan,2018,9,4,158873111.08120835
4,3173,Gondangdia,Jakarta Pusat,2020,7,20,157796073.9362527
3,3173,Karet Tengsin,Jakarta Pusat,2020,7,24,157796073.93625268
1,3172,Cibubur,Jakarta Timur,2018,9,18,157038163.26530612
4,3173,Serdang,Jakarta Pusat,2021,9,57,155012579.19134688
7,3173,Kemayoran,Jakarta Pusat,2021,9,61,155012579.19134688
4,3173,Serdang,Jakarta Pusat,2020,9,57,155012579.19134688
4,3173,Serdang,Jakarta Pusat,2018,9,57,155012579.19134688
3,3172,Ciracas,Jakarta Timur,2018,9,26,153897400.0
1,3101,Pulau Panggang,Kepulauan Seribu,2021,7,60,153340011.44819692
2,3174,Duri Selatan,Jakarta Barat,2018,7,10,151732652.27368438
6,3171,Manggarai Selatan,Jakarta Selatan,2018,9,8,150929455.52714795
5,3172,Cipinang Besar Utara,Jakarta Timur,2025,7,38,150636115.34101978
4,3173,Gondangdia,Jakarta Pusat,2024,7,6,150281156.41049242
4,3175,Warakas,Jakarta Utara,2025,9,55,148668077.554164
1,3173,Johar Baru,Jakarta Pusat,2018,9,45,147858152.45943856
2,3171,Kuningan Timur,Jakarta Selatan,2025,7,25,145911116.57858256
