year,kabkota_id,nama_kabkota,kbli2,kbli_label,avg_pendapatan_bulanan,n_responden,weight_sum,low_reliability_flag,cagr_2021_2025_geomean,cagr_2021_2025_regression,change_2024_2025,level_2025
2021,1,Kepulauan Seribu,7,Perdagangan Besar/Eceran (KBLI G),2555666.8574699485,67,1747.0,0,0.13979251912694024,0.16104440907088535,0.2746417926824722,4313277.995642701
2021,1,Kepulauan Seribu,9,Akomodasi & Makan Minum (KBLI I),1293916.004540295,33,881.0,0,0.29968519240142166,0.29544582600349645,0.378238111798558,3691975.1442521084
2021,71,Jakarta Selatan,7,Perdagangan Besar/Eceran (KBLI G),3053401.765908399,161,114955.0,0,-0.03453744454953234,0.0088490816418616,-0.7454945663919703,2652929.3923378647
2021,71,Jakarta Selatan,9,Akomodasi & Makan Minum (KBLI I),2647885.184686806,89,59452.0,0,0.03495771497680766,0.05483083469479966,-0.5422164722763156,3038012.62855285
2021,72,Jakarta Timur,7,Perdagangan Besar/Eceran (KBLI G),3322717.210475475,190,149072.0,0,-0.06374116551906583,0.039643598392195445,-0.7459701315950445,2553154.4973054198
2021,72,Jakarta Timur,9,Akomodasi & Makan Minum (KBLI I),3140763.2653061226,63,49000.0,0,0.03765043777249466,0.09579935745217627,-0.40203790214743657,3641157.7708845865
2021,73,Jakarta Pusat,7,Perdagangan Besar/Eceran (KBLI G),4508459.2553215055,108,45147.0,0,-0.06625984174348121,-0.015331944562844924,-0.5895121799934061,3427143.5712784994
2021,73,Jakarta Pusat,9,Akomodasi & Makan Minum (KBLI I),2384808.910636106,100,38830.0,0,0.17774764478641725,0.264004069022701,-0.6148612640787285,4588413.653885909
2021,74,Jakarta Barat,7,Perdagangan Besar/Eceran (KBLI G),4894601.686247883,149,116353.0,0,-0.06964519129879343,0.017791381269723905,-0.7367106378838633,3667007.3654959993
2021,74,Jakarta Barat,9,Akomodasi & Makan Minum (KBLI I),2915796.8974588453,96,73746.0,0,-0.022465789730317987,-0.007945808619899464,-0.5066144651112033,2662472.4952955046
2021,75,Jakarta Utara,7,Perdagangan Besar/Eceran (KBLI G),4686144.122090688,159,104578.0,0,-0.12773712407242055,-0.12250869350746796,-0.7320016065634067,2712721.4236213197
