rank_magnitude,rank_eczi,desa_pcode,nama_desa,nama_kecamatan,nama_kabkota,n_pixels,lum_2021,lum_2024,lum_2025,ntl_cagr_2021_2025,ntl_change_2024_2025,ntl_level_2025,ntl_recovery_2021_2025,quality_flag,nama_kabkota_podes,podes_count_2025,podes_cagr_2021_2025,podes_change_2024_2025,podes_level_2025,podes_diversity_shannon,podes_winsorize_flag,magnitude_2025,magnitude_cagr_2021_2025,magnitude_change_2024_2025,magnitude_perdagangan_2025,magnitude_akomamin_2025,centroid_lat,centroid_lon,count_hiburan_nightlife,count_gaya_hidup_wellness,count_retail_khusus,count_wisata_budaya,count_layanan_penunjang,transport_access_score_raw,catchment_density_1km,pulse_badge,pulse_yoy_2026,ntl_cagr_2021_2025_w,ntl_change_2024_2025_w,podes_cagr_2021_2025_w,podes_change_2024_2025_w,magnitude_cagr_2021_2025_w,magnitude_change_2024_2025_w,low_reliability_flag,n_ntl_cagr,n_ntl_change,n_podes_cagr,n_podes_change,n_mag_cagr,n_ntl_level,n_podes_level,n_podes_div,n_mag_level,n_osm_ent,n_osm_well,n_osm_spec,n_osm_tour,n_tra_access,n_tra_auto,n_tra_catch,g1,g2,g3,g4,g5,eczi_score,n_osm_lifestyle_density,magnitude_score,tipe_kawasan
14,20,ID3173030005,Senen,Senen,Kota Jakarta Pusat,3,74.944,74.662,78.726,0.0124,0.0544,78.726,1.05,low,Jakarta Pusat,560.0,0.4298,0.0,560.0,1.1905,False,5995298391.509872,0.4271,-0.6087,1535360319.932768,4459938071.577105,-6.1763,106.8394,1.0,4.0,1.0,2.0,28.0,266.08,84,Mulai Melambat,-12.5,0.022415,0.0544,0.3197049999999998,0.0,0.2985549999999999,-0.6087,0,0.0,78.20046223733496,100.0,42.52448114214831,100.0,88.85856130375866,85.94115550765605,62.284189599246616,99.98832512098151,25.0,43.05992976375693,23.981246656813145,27.54115523761867,97.40604533854524,70.70921549885554,84.58530039138843,37.62,79.4,99.99,29.68,88.81,67.55,53.44908771065096,86.47,Kawasan Komersial Mapan
33,21,ID3174060008,Pinangsia,Taman Sari,Kota Jakarta Barat,4,44.203,55.503,59.312,0.08605,0.0665,59.312,1.342,low,Jakarta Barat,204.0,-0.0036,-0.0097,204.0,1.2351,False,1954120681.45433,-0.1446,-0.6459,718733443.6372159,1235387237.817114,-6.1371,106.8158,4.0,0.0,1.0,12.0,24.0,212.7,158,Trend Lanjut Tumbuh,5.83,0.08605,0.0665,-0.0036,-0.0097,-0.1446,-0.6459,0,95.10181206799923,84.62928034428712,44.45360753893601,40.551753592092886,26.832268396981853,83.19526507712084,72.27263811691904,64.61755781102858,95.00967916959662,58.04820237218406,0.0,23.981246656813145,64.30081763978816,93.51898799282084,67.59257156374534,96.50876466470262,90.06,53.66,57.82,36.06,87.49,67.51,70.31039757960106,83.25,Kawasan Komersial Sedang Naik Daun
51,22,ID3174020004,Kebon Jeruk,Kebon Jeruk,Kota Jakarta Barat,16,37.836,51.22,52.939,0.09125,0.07805,52.939,1.399,high,Jakarta Barat,291.0,0.1096,0.0,291.0,0.902,False,2075953467.8176107,0.0296,-0.7001,1532809078.7773278,543144389.040283,-6.195,106.7721,0.0,6.0,1.0,1.0,14.0,93.59,19,Stabil,4.22,0.0893275,0.07805,0.1096,0.0,0.0296,-0.7001,0,100.0,90.76587944637782,63.90227559724766,42.52448114214831,55.59380520745621,80.92890259624629,77.07555966231484,47.19054096473789,95.27827883353552,0.0,52.06212286759118,23.981246656813145,17.376534287144,79.31096543006936,56.86583980719758,57.036868217048095,94.13,60.93,73.63,21.91,70.36,67.5,53.44908771065096,81.45,Kawasan Komersial Sedang Naik Daun
4,23,ID3175020003,Ancol,Pademangan,Kota Jakarta Utara,28,33.02,47.134,46.612,0.0852499999999999,-0.01045,46.612,1.412,high,Jakarta Utara,264.0,-0.0047,-0.0038,264.0,1.3112,False,2466994473.976621,0.0562,-0.7564,507278906.21718687,1959715567.7594345,-6.1242,106.8335,4.0,24.0,0.0,8.0,63.0,114.02,31,Mulai Melambat,-6.71,0.0852499999999999,-0.01045,-0.0047,-0.0038,0.0562,-0.746425,0,93.90622081076016,43.745185027760805,44.264618715047824,41.75166004006474,59.98563574223586,78.39686039755857,75.75822628252043,68.59893271947264,96.04472659086696,58.04820237218406,86.11985952751387,0.0,55.08231047523734,82.72000400951437,87.33160821721003,65.98544326144624,76.69,55.27,76.38,50.06,81.36,67.33,87.83820744571477,88.32,Kawasan Komersial Sedang Naik Daun
81,24,ID3173080002,Petojo Selatan,Gambir,Kota Jakarta Pusat,5,55.756,72.72,74.424,0.0735,0.0237,74.424,1.335,medium,Jakarta Pusat,148.0,0.0495,0.0068,148.0,1.1512,False,1895070712.1583464,0.1783,-0.6066,541488684.262003,1353582027.8963432,-6.1748,106.8164,0.0,2.0,3.0,3.0,57.0,221.85,131,Trend Lanjut Tumbuh,8.34,0.0735,0.0237,0.0495,0.0068,0.1783,-0.6066,0,76.34597422006351,61.88932869324975,53.57661349208397,43.90742416692943,80.14512853534103,87.7328568462265,67.94058285508363,60.228105053887205,94.87340730019996,0.0,29.392974790871936,47.96249331362629,34.753068574288,94.24986673801868,85.26448353505721,92.96549369483856,74.03,56.25,86.84,25.13,91.81,67.26,53.44908771065096,78.51,Kawasan Komersial Sedang Naik Daun
169,25,ID3174060006,Keagungan,Taman Sari,Kota Jakarta Barat,1,40.432,51.474,55.412,0.082,0.0765,55.412,1.371,low,Jakarta Barat,102.0,0.1371,0.0,102.0,1.3341,False,902511110.8588908,0.0072,-0.634,359366721.8186079,543144389.040283,-6.1512,106.8142,0.0,3.0,1.0,0.0,14.0,132.27,190,Trend Lanjut Tumbuh,21.38,0.082,0.0765,0.1371,0.0,0.0072,-0.634,0,89.04913132822716,89.94235315995007,68.62699619445235,42.52448114214831,51.89542159922069,81.83863776569318,62.9275714772439,69.79700742910956,91.5788533815421,0.0,37.08980468307378,23.981246656813145,0.0,85.2873370705664,56.86583980719758,100.0,88.11,61.68,69.93,15.27,80.39,67.1,39.15074910131681,72.5,Kawasan Komersial Sedang Naik Daun
97,26,ID3171030005,Cipete Selatan,Cilandak,Kota Jakarta Selatan,12,33.878,46.342,47.373,0.08985,0.03,47.373,1.398,high,Jakarta Selatan,97.0,0.123,0.0,97.0,1.7451,False,1964485185.8833508,0.0471,-0.6261,551809313.6062758,1412675872.277075,-6.2728,106.805,0.0,7.0,0.0,1.0,24.0,94.39,49,Stabil,-2.93,0.0893275,0.03,0.123,0.0,0.0471,-0.6261,0,100.0,65.2365645671174,66.20450308824923,42.52448114214831,58.48316740139019,78.71865948538702,62.25193953467597,91.29957099508216,95.03317224868006,0.0,55.63470702461066,0.0,17.376534287144,79.45778342620412,67.59257156374534,74.48247047722846,86.31,63.15,75.1,16.8,75.75,66.98,53.44908771065096,76.88,Kawasan Komersial Sedang Naik Daun
43,27,ID3175010001,Kamal Muara,Penjaringan,Kota Jakarta Utara,46,30.867,43.562,42.143,0.1034,0.0069,42.143,1.365,high,Jakarta Utara,145.0,0.0643,0.0284,145.0,1.7057,False,2464111049.237329,0.2379,-0.7423,1215299197.7823515,1248811851.4549775,-6.1105,106.7358,1.0,11.0,3.0,2.0,31.0,13.73,30,Stabil,-2.87,0.0893275,0.0069,0.0643,0.0284,0.2379,-0.7423,0,100.0,52.963366362936014,56.11937221348866,48.30030201035182,89.98547063582481,76.39660425431984,67.66442281705193,89.23825468243173,96.03953277744472,25.0,66.48277947394573,47.96249331362629,27.54115523761867,46.89197639365849,72.77634018100836,65.38096790901989,82.35,61.62,92.74,41.53,56.14,66.51,70.31039757960106,82.38,Kawasan Komersial Sedang Naik Daun
28,28,ID3171010006,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan,12,29.133,35.331,34.828,0.0504,-0.00935,34.828,1.195,high,Jakarta Selatan,500.0,0.4059,3.2017,500.0,0.6917,False,2055886299.8497856,0.0377,-0.1917,1177900650.198012,877985649.6517736,-6.3068,106.8475,1.0,4.0,4.0,0.0,27.0,51.07,29,Stabil,-4.91,0.0504,-0.00935,0.3197049999999998,0.2826099999999992,0.0377,-0.3435000000000001,0,41.82327666728937,44.329623037483735,100.0,100.0,56.93116713721994,72.62620052309894,84.40535051032543,36.18813435178403,95.23514003949064,25.0,43.05992976375693,55.68273036287808,0.0,68.90429284434765,69.97233943570183,64.75667019733001,47.69,88.01,74.34,33.02,68.55,66.34,56.012058970266935,84.14,Kawasan Komersial Mapan
18,29,ID3174010005,Kembangan Selatan,Kembangan,Kota Jakarta Barat,16,37.304,49.281,52.029,0.0876,0.0643,52.029,1.395,high,Jakarta Barat,404.0,0.005,0.005,404.0,1.3608,False,3918748021.0119886,-0.1611,-0.6754,2350551721.282936,1568196299.7290523,-6.1861,106.7389,4.0,6.0,0.0,2.0,62.0,50.91,32,Stabil,-2.16,0.0876,0.0643,0.005,0.005,-0.1611,-0.6754,0,97.41827012889968,83.46040432484128,45.9311565256982,43.5413510133109,24.108012614129805,80.58360590633397,81.51717900143328,71.19388929580413,98.09994837904313,58.04820237218406,52.06212286759118,0.0,27.54115523761867,68.85064341166147,87.00091141394832,66.57131639026007,90.54,58.19,57.74,36.96,73.05,66.33,62.39426073894736,85.98,Kawasan Komersial Sedang Naik Daun
